round,stage,detail,cid,seconds
2,client_cipher_hash,hash encrypted vector,5,0.023353252559900284
2,client_pedersen_commit,Pedersen vector commitment,5,2.6143047995865345
2,client_receipt_sign,sign upload receipt,5,0.0006279945373535156
2,client_upload_pack,build upload message,5,0.012112878262996674
2,client_weight_compute,client aggregation weight,4,5.6881457567214966e-05
2,client_local_train,local SGD training,4,3.428493794053793
2,client_model_delta,weighted local model delta,4,0.00039330124855041504
2,client_quant_encode,fixed-point quantization and signed encoding,4,7.788464426994324e-05
2,client_masking,xMask = x + m,4,3.259629011154175e-05
2,client_paillier_encrypt,coordinate-wise Paillier encryption,4,18.658048447221518
2,client_cipher_hash,hash encrypted vector,4,0.023213203996419907
2,client_pedersen_commit,Pedersen vector commitment,4,2.684547808021307
2,client_receipt_sign,sign upload receipt,4,0.0006404928863048553
2,client_upload_pack,build upload message,4,0.012071695178747177
3,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,25.128152891993523
3,client_weight_compute,client aggregation weight,3,4.0061771869659424e-05
3,client_local_train,local SGD training,3,3.518413219600916
3,client_model_delta,weighted local model delta,3,0.0003639496862888336
3,client_quant_encode,fixed-point quantization and signed encoding,3,7.209926843643188e-05
3,client_masking,xMask = x + m,3,3.1225383281707764e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,3,18.488931976258755
3,client_cipher_hash,hash encrypted vector,3,0.023213915526866913
3,client_pedersen_commit,Pedersen vector commitment,3,2.564510550349951
3,client_receipt_sign,sign upload receipt,3,0.000606093555688858
3,client_upload_pack,build upload message,3,0.012040648609399796
3,client_weight_compute,client aggregation weight,2,3.192201256752014e-05
3,client_local_train,local SGD training,2,3.4665169306099415
3,client_model_delta,weighted local model delta,2,0.00036602094769477844
3,client_quant_encode,fixed-point quantization and signed encoding,2,6.692484021186829e-05
3,client_masking,xMask = x + m,2,3.14861536026001e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,2,18.533790189772844
3,client_cipher_hash,hash encrypted vector,2,0.023239009082317352
3,client_pedersen_commit,Pedersen vector commitment,2,2.582129590213299
3,client_receipt_sign,sign upload receipt,2,0.0005693361163139343
3,client_upload_pack,build upload message,2,0.012607026845216751
3,client_weight_compute,client aggregation weight,5,4.032999277114868e-05
3,client_local_train,local SGD training,5,3.410929925739765
3,client_model_delta,weighted local model delta,5,0.00039360299706459045
3,client_quant_encode,fixed-point quantization and signed encoding,5,7.004290819168091e-05
3,client_masking,xMask = x + m,5,3.3192336559295654e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,5,18.632494401186705
3,client_cipher_hash,hash encrypted vector,5,0.023350242525339127
3,client_pedersen_commit,Pedersen vector commitment,5,2.655638884752989
3,client_receipt_sign,sign upload receipt,5,0.0006097033619880676
3,client_upload_pack,build upload message,5,0.012132730334997177
3,client_weight_compute,client aggregation weight,1,3.277510404586792e-05
3,client_local_train,local SGD training,1,3.4097459949553013
3,client_model_delta,weighted local model delta,1,0.0003945790231227875
3,client_quant_encode,fixed-point quantization and signed encoding,1,7.283687591552734e-05
3,client_masking,xMask = x + m,1,3.14861536026001e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,1,18.65702760219574
3,client_cipher_hash,hash encrypted vector,1,0.022899527102708817
3,client_pedersen_commit,Pedersen vector commitment,1,2.6779388040304184
3,client_receipt_sign,sign upload receipt,1,0.0005829222500324249
3,client_upload_pack,build upload message,1,0.0116170234978199
3,client_weight_compute,client aggregation weight,4,5.80810010433197e-05
3,client_local_train,local SGD training,4,3.4454857148230076
3,client_model_delta,weighted local model delta,4,0.00040007010102272034
3,client_quant_encode,fixed-point quantization and signed encoding,4,7.411837577819824e-05
3,client_masking,xMask = x + m,4,3.100931644439697e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,4,18.774953443557024
3,client_cipher_hash,hash encrypted vector,4,0.023232795298099518
3,client_pedersen_commit,Pedersen vector commitment,4,2.749444752931595
3,client_receipt_sign,sign upload receipt,4,0.0005991384387016296
3,client_upload_pack,build upload message,4,0.012095049023628235
4,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,25.18764180317521
4,client_weight_compute,client aggregation weight,3,3.976374864578247e-05
4,client_local_train,local SGD training,3,3.530263416469097
4,client_model_delta,weighted local model delta,3,0.00037571415305137634
4,client_quant_encode,fixed-point quantization and signed encoding,3,7.933378219604492e-05
4,client_masking,xMask = x + m,3,3.7319958209991455e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,3,18.382162254303694
4,client_cipher_hash,hash encrypted vector,3,0.023242376744747162
4,client_pedersen_commit,Pedersen vector commitment,3,2.481047723442316
4,client_receipt_sign,sign upload receipt,3,0.0006038285791873932
4,client_upload_pack,build upload message,3,0.012125000357627869
4,client_weight_compute,client aggregation weight,2,4.127621650695801e-05
4,client_local_train,local SGD training,2,3.4607052467763424
4,client_model_delta,weighted local model delta,2,0.0003890693187713623
4,client_quant_encode,fixed-point quantization and signed encoding,2,7.236748933792114e-05
4,client_masking,xMask = x + m,2,3.069639205932617e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,2,18.476901840418577
4,client_cipher_hash,hash encrypted vector,2,0.023119520395994186
4,client_pedersen_commit,Pedersen vector commitment,2,2.5410305745899677
4,client_receipt_sign,sign upload receipt,2,0.0005930662155151367
4,client_upload_pack,build upload message,2,0.012072402983903885
4,client_weight_compute,client aggregation weight,1,3.0934810638427734e-05
4,client_local_train,local SGD training,1,3.4042933508753777
4,client_model_delta,weighted local model delta,1,0.00039304792881011963
4,client_quant_encode,fixed-point quantization and signed encoding,1,7.124990224838257e-05
4,client_masking,xMask = x + m,1,3.2749027013778687e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,1,18.607379406690598
4,client_cipher_hash,hash encrypted vector,1,0.023053541779518127
4,client_pedersen_commit,Pedersen vector commitment,1,2.6451695784926414
4,client_receipt_sign,sign upload receipt,1,0.0006329379975795746
4,client_upload_pack,build upload message,1,0.011624172329902649
4,client_weight_compute,client aggregation weight,4,5.7853758335113525e-05
4,client_local_train,local SGD training,4,3.424211550503969
4,client_model_delta,weighted local model delta,4,0.0003913678228855133
4,client_quant_encode,fixed-point quantization and signed encoding,4,7.016956806182861e-05
4,client_masking,xMask = x + m,4,3.374367952346802e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,4,18.616440687328577
4,client_cipher_hash,hash encrypted vector,4,0.02342604473233223
4,client_pedersen_commit,Pedersen vector commitment,4,2.650402542203665
4,client_receipt_sign,sign upload receipt,4,0.0006188414990901947
4,client_upload_pack,build upload message,4,0.012122202664613724
4,client_weight_compute,client aggregation weight,5,4.108250141143799e-05
4,client_local_train,local SGD training,5,3.43486525118351
4,client_model_delta,weighted local model delta,5,0.0003895685076713562
4,client_quant_encode,fixed-point quantization and signed encoding,5,7.215142250061035e-05
4,client_masking,xMask = x + m,5,3.385171294212341e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,5,18.814152348786592
4,client_cipher_hash,hash encrypted vector,5,0.023489482700824738
4,client_pedersen_commit,Pedersen vector commitment,5,2.7874324023723602
4,client_receipt_sign,sign upload receipt,5,0.000669822096824646
4,client_upload_pack,build upload message,5,0.012643951922655106
5,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,24.938372932374477
5,client_weight_compute,client aggregation weight,2,4.305317997932434e-05
5,client_local_train,local SGD training,2,3.4425173960626125
5,client_model_delta,weighted local model delta,2,0.00039085373282432556
5,client_quant_encode,fixed-point quantization and signed encoding,2,7.422640919685364e-05
5,client_masking,xMask = x + m,2,2.9627233743667603e-05
5,client_paillier_encrypt,coordinate-wise Paillier encryption,2,18.416648104786873
5,client_cipher_hash,hash encrypted vector,2,0.02329932525753975
5,client_pedersen_commit,Pedersen vector commitment,2,2.4939470514655113
5,client_receipt_sign,sign upload receipt,2,0.0006614066660404205
5,client_upload_pack,build upload message,2,0.013068605214357376
5,client_weight_compute,client aggregation weight,3,4.044175148010254e-05
5,client_local_train,local SGD training,3,3.5437085181474686
5,client_model_delta,weighted local model delta,3,0.0003872029483318329
5,client_quant_encode,fixed-point quantization and signed encoding,3,7.123127579689026e-05
5,client_masking,xMask = x + m,3,3.222376108169556e-05
5,client_paillier_encrypt,coordinate-wise Paillier encryption,3,18.366025485098362
5,client_cipher_hash,hash encrypted vector,3,0.0233316570520401
5,client_pedersen_commit,Pedersen vector commitment,3,2.477764554321766
5,client_receipt_sign,sign upload receipt,3,0.0005814097821712494
5,client_upload_pack,build upload message,3,0.012119244784116745
5,client_weight_compute,client aggregation weight,5,3.1597912311553955e-05
5,client_local_train,local SGD training,5,3.4686339497566223
5,client_model_delta,weighted local model delta,5,0.0003931485116481781
5,client_quant_encode,fixed-point quantization and signed encoding,5,7.431581616401672e-05
5,client_masking,xMask = x + m,5,3.037974238395691e-05
5,client_paillier_encrypt,coordinate-wise Paillier encryption,5,18.50953061506152
5,client_cipher_hash,hash encrypted vector,5,0.023392867296934128
5,client_pedersen_commit,Pedersen vector commitment,5,2.58098928257823
5,client_receipt_sign,sign upload receipt,5,0.0006102658808231354
5,client_upload_pack,build upload message,5,0.012573778629302979
5,client_weight_compute,client aggregation weight,1,4.18834388256073e-05
5,client_local_train,local SGD training,1,3.4040283411741257
5,client_model_delta,weighted local model delta,1,0.0003970712423324585
5,client_quant_encode,fixed-point quantization and signed encoding,1,7.111206650733948e-05
5,client_masking,xMask = x + m,1,3.0074268579483032e-05
5,client_paillier_encrypt,coordinate-wise Paillier encryption,1,18.651339061558247
5,client_cipher_hash,hash encrypted vector,1,0.023144759237766266
5,client_pedersen_commit,Pedersen vector commitment,1,2.674326941370964
5,client_receipt_sign,sign upload receipt,1,0.0005927532911300659
5,client_upload_pack,build upload message,1,0.01161867007613182
5,client_weight_compute,client aggregation weight,4,5.734339356422424e-05
5,client_local_train,local SGD training,4,3.4813361056149006
5,client_model_delta,weighted local model delta,4,0.00038880109786987305
5,client_quant_encode,fixed-point quantization and signed encoding,4,6.932392716407776e-05
5,client_masking,xMask = x + m,4,3.059208393096924e-05
5,client_paillier_encrypt,coordinate-wise Paillier encryption,4,18.638141483068466
5,client_cipher_hash,hash encrypted vector,4,0.02344542369246483
5,client_pedersen_commit,Pedersen vector commitment,4,2.670893616974354
5,client_receipt_sign,sign upload receipt,4,0.0005832277238368988
5,client_upload_pack,build upload message,4,0.01213911920785904
6,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,25.061035633087158
6,client_weight_compute,client aggregation weight,3,3.894418478012085e-05
6,client_local_train,local SGD training,3,3.4786743596196175
6,client_model_delta,weighted local model delta,3,0.00039034709334373474
6,client_quant_encode,fixed-point quantization and signed encoding,3,6.784871220588684e-05
6,client_masking,xMask = x + m,3,3.2279640436172485e-05
6,client_paillier_encrypt,coordinate-wise Paillier encryption,3,18.37973701953888
6,client_cipher_hash,hash encrypted vector,3,0.02361663430929184
6,client_pedersen_commit,Pedersen vector commitment,3,2.4860139675438404
6,client_receipt_sign,sign upload receipt,3,0.0006054043769836426
6,client_upload_pack,build upload message,3,0.01215633749961853
6,client_weight_compute,client aggregation weight,5,4.136189818382263e-05
6,client_local_train,local SGD training,5,3.4126082994043827
6,client_model_delta,weighted local model delta,5,0.0003970600664615631
6,client_quant_encode,fixed-point quantization and signed encoding,5,7.162615656852722e-05
6,client_masking,xMask = x + m,5,3.1929463148117065e-05
6,client_paillier_encrypt,coordinate-wise Paillier encryption,5,18.497664134949446
6,client_cipher_hash,hash encrypted vector,5,0.023239992558956146
6,client_pedersen_commit,Pedersen vector commitment,5,2.576240509748459
6,client_receipt_sign,sign upload receipt,5,0.0006044581532478333
6,client_upload_pack,build upload message,5,0.012590698897838593
6,client_weight_compute,client aggregation weight,2,3.4108757972717285e-05
6,client_local_train,local SGD training,2,3.473179493099451
6,client_model_delta,weighted local model delta,2,0.0003602132201194763
6,client_quant_encode,fixed-point quantization and signed encoding,2,6.868317723274231e-05
6,client_masking,xMask = x + m,2,3.102049231529236e-05
6,client_paillier_encrypt,coordinate-wise Paillier encryption,2,18.4999704323709
6,client_cipher_hash,hash encrypted vector,2,0.023146674036979675
6,client_pedersen_commit,Pedersen vector commitment,2,2.559065029025078
6,client_receipt_sign,sign upload receipt,2,0.0005943402647972107
6,client_upload_pack,build upload message,2,0.012518633157014847
6,client_weight_compute,client aggregation weight,1,4.1346997022628784e-05
6,client_local_train,local SGD training,1,3.3799237608909607
6,client_model_delta,weighted local model delta,1,0.00038626790046691895
6,client_quant_encode,fixed-point quantization and signed encoding,1,6.972253322601318e-05
6,client_masking,xMask = x + m,1,3.23466956615448e-05
6,client_paillier_encrypt,coordinate-wise Paillier encryption,1,18.68732101842761
6,client_cipher_hash,hash encrypted vector,1,0.023041129112243652
6,client_pedersen_commit,Pedersen vector commitment,1,2.7186079993844032
6,client_receipt_sign,sign upload receipt,1,0.0006732307374477386
6,client_upload_pack,build upload message,1,0.01161472499370575
6,client_weight_compute,client aggregation weight,4,5.5670738220214844e-05
6,client_local_train,local SGD training,4,3.4651993811130524
6,client_model_delta,weighted local model delta,4,0.0003921724855899811
6,client_quant_encode,fixed-point quantization and signed encoding,4,7.271021604537964e-05
6,client_masking,xMask = x + m,4,3.4403055906295776e-05
6,client_paillier_encrypt,coordinate-wise Paillier encryption,4,18.722873859107494
6,client_cipher_hash,hash encrypted vector,4,0.02333773672580719
6,client_pedersen_commit,Pedersen vector commitment,4,2.72036624699831
6,client_receipt_sign,sign upload receipt,4,0.0006215870380401611
6,client_upload_pack,build upload message,4,0.012125667184591293
7,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,25.003761623054743
7,client_weight_compute,client aggregation weight,2,4.057958722114563e-05
7,client_local_train,local SGD training,2,3.4708232916891575
7,client_model_delta,weighted local model delta,2,0.0003995820879936218
7,client_quant_encode,fixed-point quantization and signed encoding,2,7.434561848640442e-05
7,client_masking,xMask = x + m,2,3.2067298889160156e-05
7,client_paillier_encrypt,coordinate-wise Paillier encryption,2,18.394305299967527
7,client_cipher_hash,hash encrypted vector,2,0.023516446352005005
7,client_pedersen_commit,Pedersen vector commitment,2,2.4940444491803646
7,client_receipt_sign,sign upload receipt,2,0.0006577335298061371
7,client_upload_pack,build upload message,2,0.013057813048362732
7,client_weight_compute,client aggregation weight,3,2.508610486984253e-05
7,client_local_train,local SGD training,3,3.4786427468061447
7,client_model_delta,weighted local model delta,3,0.00037156790494918823
7,client_quant_encode,fixed-point quantization and signed encoding,3,8.096545934677124e-05
7,client_masking,xMask = x + m,3,3.163143992424011e-05
7,client_paillier_encrypt,coordinate-wise Paillier encryption,3,18.43831279501319
7,client_cipher_hash,hash encrypted vector,3,0.02331472933292389
