round,tx_type,tx_hash,block_number,gas_used,latency_sec,status
0,InitTx,893ee4333fe36a32dac13aa4c0559f5f2ed38170cc75b60eea97488376c90b7a,2,82006,0.07212070000059612,1
1,FinalTx,89379aad3cfd56665b4ace1a1f2e49df0262bb89a7d46e006623de15e6368ad8,3,67541,0.04544669999995676,1
2,FinalTx,f26bce3f37548be455b5d8a1b090c5261273dc1f796ce48807c42f7dc92540da,4,50465,0.05114010000033886,1
3,FinalTx,d6e0f256bc550eca06894320c2870552ffcd19cc2a2296dd16cf7e19c6ec1d66,5,50441,0.05781130000104895,1
4,FinalTx,ec87caf7620190af73130e16d7272378e60ec233c2e5ae47a4b515ee55526b76,6,50465,0.04933850000088569,1
5,FinalTx,a5d74b2cf5b2ffc108fc9aed052c6d25129a63b4a3b142e170cadce2e7d235f8,7,50453,0.04380530000162253,1
