round,tx_type,tx_hash,block_number,gas_used,latency_sec,status
41,FinalTx,5c0ba079f21e5faf8c987e01661c9a126444f7db969c23de0b4743b4667027dc,95,50477,0.03669393062591553,1
42,FinalTx,52e6417133d9247f0d2770c3af8534898a585e33cbdabf1dc3081c8a80f4222b,96,50477,0.0367959588766098,1
43,FinalTx,d9f219f12f2ae277ed8344c87fc060cd42729d335a82f4fe9c27847f24d1b283,97,50465,0.03557635843753815,1
44,FinalTx,c34f403edbd12c5fc4a381949e51fe8bd85c4ddc0926479a7e52c78cd5480dec,98,50477,0.034378886222839355,1
45,FinalTx,63cb8f79308810ec4ad646aa77c43b8e6d43a420ad724fc00faf008ab598fc32,99,50465,0.03717770427465439,1
46,FinalTx,7fb1ebe9c1120ab3e446439b5f539fff95c5690d60b9ace7a5ccf2802bb2e31a,100,50477,0.03289027512073517,1
47,FinalTx,0a6c786d4a92885d73f00eb890d1b23b2f0d311d6dcdbd48b35fa06a9714a805,101,50477,0.036390163004398346,1
48,FinalTx,53c053700c44e7fa4a603fc5083dd0c4b26ed267b39f49858c89d06bbc8e7aaa,102,50465,0.030017703771591187,1
49,FinalTx,fe5c8fe496993ecde2d2a3f17c817ea394cbe8074ba58647a6204778ed4a97d1,103,50465,0.03803902864456177,1
50,FinalTx,2cfe7f21552fb35d20ed8732f0d6d4456e6bf78cabd443f2ac9a40908fcf94da,104,50465,0.034850381314754486,1
