round,metric,value
23,compensation_identity_optimized,1
24,model_dimension,6794
24,model_name,tiny_cnn
24,effective_clients,5
24,dropout_clients,0
24,pedersen_commitments,7
24,paillier_encryptions,33970
24,paillier_ciphertexts_aggregated,33970
24,compensation_encryptions,0
24,compensation_identity_optimized,1
25,model_dimension,6794
25,model_name,tiny_cnn
25,effective_clients,4
25,dropout_clients,1
25,pedersen_commitments,7
25,paillier_encryptions,33970
25,paillier_ciphertexts_aggregated,27176
25,compensation_encryptions,6794
25,compensation_identity_optimized,0
26,model_dimension,6794
26,model_name,tiny_cnn
26,effective_clients,5
26,dropout_clients,0
26,pedersen_commitments,7
26,paillier_encryptions,33970
26,paillier_ciphertexts_aggregated,33970
26,compensation_encryptions,0
26,compensation_identity_optimized,1
27,model_dimension,6794
27,model_name,tiny_cnn
27,effective_clients,5
27,dropout_clients,0
27,pedersen_commitments,7
27,paillier_encryptions,33970
27,paillier_ciphertexts_aggregated,33970
27,compensation_encryptions,0
27,compensation_identity_optimized,1
28,model_dimension,6794
28,model_name,tiny_cnn
28,effective_clients,5
28,dropout_clients,0
28,pedersen_commitments,7
28,paillier_encryptions,33970
28,paillier_ciphertexts_aggregated,33970
28,compensation_encryptions,0
28,compensation_identity_optimized,1
29,model_dimension,6794
29,model_name,tiny_cnn
29,effective_clients,5
29,dropout_clients,0
29,pedersen_commitments,7
29,paillier_encryptions,33970
29,paillier_ciphertexts_aggregated,33970
29,compensation_encryptions,0
29,compensation_identity_optimized,1
30,model_dimension,6794
30,model_name,tiny_cnn
30,effective_clients,5
30,dropout_clients,0
30,pedersen_commitments,7
30,paillier_encryptions,33970
30,paillier_ciphertexts_aggregated,33970
30,compensation_encryptions,0
30,compensation_identity_optimized,1
31,model_dimension,6794
31,model_name,tiny_cnn
31,effective_clients,5
31,dropout_clients,0
31,pedersen_commitments,7
31,paillier_encryptions,33970
31,paillier_ciphertexts_aggregated,33970
31,compensation_encryptions,0
31,compensation_identity_optimized,1
32,model_dimension,6794
32,model_name,tiny_cnn
32,effective_clients,5
32,dropout_clients,0
32,pedersen_commitments,7
32,paillier_encryptions,33970
32,paillier_ciphertexts_aggregated,33970
32,compensation_encryptions,0
32,compensation_identity_optimized,1
33,model_dimension,6794
33,model_name,tiny_cnn
33,effective_clients,5
33,dropout_clients,0
33,pedersen_commitments,7
33,paillier_encryptions,33970
33,paillier_ciphertexts_aggregated,33970
33,compensation_encryptions,0
33,compensation_identity_optimized,1
34,model_dimension,6794
34,model_name,tiny_cnn
34,effective_clients,5
34,dropout_clients,0
34,pedersen_commitments,7
34,paillier_encryptions,33970
34,paillier_ciphertexts_aggregated,33970
34,compensation_encryptions,0
34,compensation_identity_optimized,1
35,model_dimension,6794
35,model_name,tiny_cnn
35,effective_clients,5
35,dropout_clients,0
35,pedersen_commitments,7
35,paillier_encryptions,33970
35,paillier_ciphertexts_aggregated,33970
35,compensation_encryptions,0
35,compensation_identity_optimized,1
36,model_dimension,6794
36,model_name,tiny_cnn
36,effective_clients,5
36,dropout_clients,0
36,pedersen_commitments,7
36,paillier_encryptions,33970
36,paillier_ciphertexts_aggregated,33970
36,compensation_encryptions,0
36,compensation_identity_optimized,1
37,model_dimension,6794
37,model_name,tiny_cnn
37,effective_clients,5
37,dropout_clients,0
37,pedersen_commitments,7
37,paillier_encryptions,33970
37,paillier_ciphertexts_aggregated,33970
37,compensation_encryptions,0
37,compensation_identity_optimized,1
38,model_dimension,6794
38,model_name,tiny_cnn
38,effective_clients,5
38,dropout_clients,0
38,pedersen_commitments,7
38,paillier_encryptions,33970
38,paillier_ciphertexts_aggregated,33970
38,compensation_encryptions,0
38,compensation_identity_optimized,1
39,model_dimension,6794
39,model_name,tiny_cnn
39,effective_clients,5
39,dropout_clients,0
39,pedersen_commitments,7
39,paillier_encryptions,33970
39,paillier_ciphertexts_aggregated,33970
39,compensation_encryptions,0
39,compensation_identity_optimized,1
40,model_dimension,6794
40,model_name,tiny_cnn
40,effective_clients,5
40,dropout_clients,0
40,pedersen_commitments,7
40,paillier_encryptions,33970
40,paillier_ciphertexts_aggregated,33970
40,compensation_encryptions,0
40,compensation_identity_optimized,1
41,model_dimension,6794
41,model_name,tiny_cnn
41,effective_clients,5
41,dropout_clients,0
41,pedersen_commitments,7
41,paillier_encryptions,33970
41,paillier_ciphertexts_aggregated,33970
41,compensation_encryptions,0
41,compensation_identity_optimized,1
42,model_dimension,6794
42,model_name,tiny_cnn
42,effective_clients,5
42,dropout_clients,0
42,pedersen_commitments,7
42,paillier_encryptions,33970
42,paillier_ciphertexts_aggregated,33970
42,compensation_encryptions,0
42,compensation_identity_optimized,1
43,model_dimension,6794
43,model_name,tiny_cnn
43,effective_clients,5
43,dropout_clients,0
43,pedersen_commitments,7
43,paillier_encryptions,33970
43,paillier_ciphertexts_aggregated,33970
43,compensation_encryptions,0
43,compensation_identity_optimized,1
44,model_dimension,6794
44,model_name,tiny_cnn
44,effective_clients,5
44,dropout_clients,0
44,pedersen_commitments,7
44,paillier_encryptions,33970
44,paillier_ciphertexts_aggregated,33970
44,compensation_encryptions,0
44,compensation_identity_optimized,1
45,model_dimension,6794
45,model_name,tiny_cnn
45,effective_clients,5
45,dropout_clients,0
45,pedersen_commitments,7
45,paillier_encryptions,33970
45,paillier_ciphertexts_aggregated,33970
45,compensation_encryptions,0
45,compensation_identity_optimized,1
46,model_dimension,6794
46,model_name,tiny_cnn
46,effective_clients,5
46,dropout_clients,0
46,pedersen_commitments,7
46,paillier_encryptions,33970
46,paillier_ciphertexts_aggregated,33970
46,compensation_encryptions,0
46,compensation_identity_optimized,1
47,model_dimension,6794
47,model_name,tiny_cnn
47,effective_clients,5
47,dropout_clients,0
47,pedersen_commitments,7
47,paillier_encryptions,33970
47,paillier_ciphertexts_aggregated,33970
47,compensation_encryptions,0
47,compensation_identity_optimized,1
48,model_dimension,6794
48,model_name,tiny_cnn
48,effective_clients,5
48,dropout_clients,0
48,pedersen_commitments,7
48,paillier_encryptions,33970
48,paillier_ciphertexts_aggregated,33970
48,compensation_encryptions,0
48,compensation_identity_optimized,1
49,model_dimension,6794
49,model_name,tiny_cnn
49,effective_clients,5
49,dropout_clients,0
49,pedersen_commitments,7
49,paillier_encryptions,33970
49,paillier_ciphertexts_aggregated,33970
49,compensation_encryptions,0
49,compensation_identity_optimized,1
50,model_dimension,6794
50,model_name,tiny_cnn
50,effective_clients,5
50,dropout_clients,0
50,pedersen_commitments,7
50,paillier_encryptions,33970
50,paillier_ciphertexts_aggregated,33970
50,compensation_encryptions,0
50,compensation_identity_optimized,1
