round,stage,detail,cid,seconds
2,client_cipher_hash,hash encrypted vector,2,0.023238904774188995
2,client_pedersen_commit,Pedersen vector commitment,2,2.213980734348297
2,client_receipt_sign,sign upload receipt,2,0.001819618046283722
2,client_upload_pack,build upload message,2,0.011864766478538513
2,client_weight_compute,client aggregation weight,5,4.8726797103881836e-05
2,client_local_train,local SGD training,5,3.4712848365306854
2,client_model_delta,weighted local model delta,5,0.0004620477557182312
2,client_quant_encode,fixed-point quantization and signed encoding,5,8.392333984375e-05
2,client_masking,xMask = x + m,5,3.353506326675415e-05
2,client_paillier_encrypt,coordinate-wise Paillier encryption,5,16.52327447384596
2,client_cipher_hash,hash encrypted vector,5,0.023947007954120636
2,client_pedersen_commit,Pedersen vector commitment,5,2.190361239016056
2,client_receipt_sign,sign upload receipt,5,0.000651627779006958
2,client_upload_pack,build upload message,5,0.011239796876907349
3,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,22.785244800150394
3,client_weight_compute,client aggregation weight,1,5.2772462368011475e-05
3,client_local_train,local SGD training,1,3.271768718957901
3,client_model_delta,weighted local model delta,1,0.00046125054359436035
3,client_quant_encode,fixed-point quantization and signed encoding,1,8.315593004226685e-05
3,client_masking,xMask = x + m,1,3.508478403091431e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,1,16.795578882098198
3,client_cipher_hash,hash encrypted vector,1,0.02424086630344391
3,client_pedersen_commit,Pedersen vector commitment,1,2.1183275505900383
3,client_receipt_sign,sign upload receipt,1,0.0006541982293128967
3,client_upload_pack,build upload message,1,0.01119963824748993
3,client_weight_compute,client aggregation weight,2,2.5995075702667236e-05
3,client_local_train,local SGD training,2,3.254094235599041
3,client_model_delta,weighted local model delta,2,0.0005021840333938599
3,client_quant_encode,fixed-point quantization and signed encoding,2,8.660554885864258e-05
3,client_masking,xMask = x + m,2,3.256648778915405e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,2,16.825296610593796
3,client_cipher_hash,hash encrypted vector,2,0.023724429309368134
3,client_pedersen_commit,Pedersen vector commitment,2,2.1400695517659187
3,client_receipt_sign,sign upload receipt,2,0.0006081759929656982
3,client_upload_pack,build upload message,2,0.011261507868766785
3,client_weight_compute,client aggregation weight,4,5.369633436203003e-05
3,client_local_train,local SGD training,4,3.3067205771803856
3,client_model_delta,weighted local model delta,4,0.00045011937618255615
3,client_quant_encode,fixed-point quantization and signed encoding,4,8.778274059295654e-05
3,client_masking,xMask = x + m,4,2.933293581008911e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,4,16.819255456328392
3,client_cipher_hash,hash encrypted vector,4,0.024012170732021332
3,client_pedersen_commit,Pedersen vector commitment,4,2.136171579360962
3,client_receipt_sign,sign upload receipt,4,0.0006282255053520203
3,client_upload_pack,build upload message,4,0.011752597987651825
3,client_weight_compute,client aggregation weight,3,4.258006811141968e-05
3,client_local_train,local SGD training,3,3.3048825189471245
3,client_model_delta,weighted local model delta,3,0.0004571378231048584
3,client_quant_encode,fixed-point quantization and signed encoding,3,7.841736078262329e-05
3,client_masking,xMask = x + m,3,3.353506326675415e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,3,16.83751506358385
3,client_cipher_hash,hash encrypted vector,3,0.023174621164798737
3,client_pedersen_commit,Pedersen vector commitment,3,2.159066580235958
3,client_receipt_sign,sign upload receipt,3,0.0005837380886077881
3,client_upload_pack,build upload message,3,0.011859886348247528
3,client_weight_compute,client aggregation weight,5,5.0790607929229736e-05
3,client_local_train,local SGD training,5,3.5273325219750404
3,client_model_delta,weighted local model delta,5,0.00048610568046569824
3,client_quant_encode,fixed-point quantization and signed encoding,5,8.127838373184204e-05
3,client_masking,xMask = x + m,5,3.3348798751831055e-05
3,client_paillier_encrypt,coordinate-wise Paillier encryption,5,16.958394929766655
3,client_cipher_hash,hash encrypted vector,5,0.024617262184619904
3,client_pedersen_commit,Pedersen vector commitment,5,2.1593388691544533
3,client_receipt_sign,sign upload receipt,5,0.0005795583128929138
3,client_upload_pack,build upload message,5,0.010771691799163818
4,client_upload_parallel_wall,CS waits for all active clients to finish TrainUploadReq in parallel,,22.66479716449976
4,client_weight_compute,client aggregation weight,1,4.269927740097046e-05
4,client_local_train,local SGD training,1,3.323224753141403
4,client_model_delta,weighted local model delta,1,0.00044261664152145386
4,client_quant_encode,fixed-point quantization and signed encoding,1,7.931143045425415e-05
4,client_masking,xMask = x + m,1,3.3348798751831055e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,1,16.496500700712204
4,client_cipher_hash,hash encrypted vector,1,0.023769795894622803
4,client_pedersen_commit,Pedersen vector commitment,1,2.1308103278279305
4,client_receipt_sign,sign upload receipt,1,0.0006463900208473206
4,client_upload_pack,build upload message,1,0.011328361928462982
4,client_weight_compute,client aggregation weight,4,5.358457565307617e-05
4,client_local_train,local SGD training,4,3.3017455115914345
4,client_model_delta,weighted local model delta,4,0.00045462697744369507
4,client_quant_encode,fixed-point quantization and signed encoding,4,7.020682096481323e-05
4,client_masking,xMask = x + m,4,3.144890069961548e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,4,16.59147334843874
4,client_cipher_hash,hash encrypted vector,4,0.023948989808559418
4,client_pedersen_commit,Pedersen vector commitment,4,2.1784687489271164
4,client_receipt_sign,sign upload receipt,4,0.0006152987480163574
4,client_upload_pack,build upload message,4,0.011470630764961243
4,client_weight_compute,client aggregation weight,3,4.4368207454681396e-05
4,client_local_train,local SGD training,3,3.3432174623012543
4,client_model_delta,weighted local model delta,3,0.00045181065797805786
4,client_quant_encode,fixed-point quantization and signed encoding,3,7.271021604537964e-05
4,client_masking,xMask = x + m,3,3.335624933242798e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,3,16.622775442898273
4,client_cipher_hash,hash encrypted vector,3,0.023671932518482208
4,client_pedersen_commit,Pedersen vector commitment,3,2.150287427008152
4,client_receipt_sign,sign upload receipt,3,0.0005881190299987793
4,client_upload_pack,build upload message,3,0.011568799614906311
4,client_weight_compute,client aggregation weight,2,2.63899564743042e-05
4,client_local_train,local SGD training,2,3.286197081208229
4,client_model_delta,weighted local model delta,2,0.00045127421617507935
4,client_quant_encode,fixed-point quantization and signed encoding,2,7.737427949905396e-05
4,client_masking,xMask = x + m,2,3.1054019927978516e-05
4,client_paillier_encrypt,coordinate-wise Paillier encryption,2,16.581309624016285
4,client_cipher_hash,hash encrypted vector,2,0.024261027574539185
4,client_pedersen_commit,Pedersen vector commitment,2,2.2530169561505318
4,client_receipt_sign,sign upload receipt,2,0.0005873367190361023
4,client_upload_pack,build upload message,2,0.011214368045330048
